NAMA DEBITUR,EVENT TIME,STATUS UPSELLING,JENIS KELAMIN,USIA,STATUS PERNIKAHAN,JUMLAH TANGGUNGAN,STATUS TEMPAT TINGGAL,PENDIDIKAN,WILAYAH,JENIS PEKERJAAN,LAMA BEKERJA, PENGHASILAN ,DBR,JK WAKTU KREDIT/ BLN,LIMIT KREDIT,KUALITAS KREDIT
A147000,60,NEW,PEREMPUAN,29,TIDAK MENIKAH,0,Rumah Dinas,DIPLOMA,Jakarta 5,Pegawai swasta,6,3346533,39%,60,50000000,LANCAR
A16302,42,NEW,LAKI LAKI,40,MENIKAH,2,Milik Sendiri,S1,Medan,Pegawai BUMN,15,10973731,29%,42,99000000,LANCAR
A89669,84,NEW,LAKI LAKI,34,MENIKAH,0,Milik Sendiri,SMA,Jakarta 4,Pegawai swasta,14,6059190,41%,84,120000000,LANCAR
A22524,36,NEW,LAKI LAKI,54,MENIKAH,1,Milik Sendiri,S1,Medan,Pegawai BUMN,10,14226000,24%,36,95000000,LANCAR
A119122,60,NEW,LAKI LAKI,28,MENIKAH,1,Milik Orang Tua,DIPLOMA,Balikpapan,Pegawai swasta,6,8446480,18%,60,60000000,LANCAR
A181129,24,NEW,LAKI LAKI,30,MENIKAH,1,Milik Sendiri,SMA,Bandung,Pegawai swasta,5,5236614,29%,24,30000000,LANCAR
A303701,7,TOP,LAKI LAKI,38,MENIKAH,3,Milik Sendiri,SMA,Jakarta 5,Pegawai swasta,16,6160598,50%,120,183500000,LANCAR
A93909,12,NEW,LAKI LAKI,25,TIDAK MENIKAH,0,Sewa,SMA,Jakarta 4,Pegawai swasta,3,7413500,30%,12,20000000,LANCAR
A268273,96,NEW,LAKI LAKI,45,MENIKAH,3,Milik Sendiri,SMA,Surabaya,Pegawai swasta,14,3131012,59%,96,75000000,LANCAR
A188014,36,NEW,LAKI LAKI,29,MENIKAH,1,Milik Orang Tua,SMA,Semarang,Pegawai swasta,1,2056078,27%,36,7000000,LANCAR
A58436,72,NEW,PEREMPUAN,45,MENIKAH,3,Milik Sendiri,S1,Jakarta 3,Pegawai BUMN,23,16731724,20%,72,150000000,LANCAR
A303475,21,TOP,LAKI LAKI,45,MENIKAH,3,Milik Sendiri,S1,Jakarta 5,Pegawai swasta,22,5705249,46%,96,150000000,LANCAR
A326929,7,TOP,LAKI LAKI,44,MENIKAH,1,Milik Sendiri,DIPLOMA,Bandung,Pegawai swasta,6,6090220,28%,108,150400000,LANCAR
A111464,18,NEW,LAKI LAKI,32,MENIKAH,2,Sewa,SMA,Balikpapan,Pegawai swasta,2,6792528,38%,18,30000000,LANCAR
A310691,30,TOP,LAKI LAKI,27,MENIKAH,2,Milik Sendiri,SMA,Bandung,Pegawai swasta,5,9702779,30%,120,179600000,LANCAR
A298384,7,TOP,PEREMPUAN,51,TIDAK MENIKAH,0,Milik Sendiri,DIPLOMA,Jakarta 5,Pegawai swasta,23,8687483,44%,84,274600000,LANCAR
A277815,10,TOP,LAKI LAKI,29,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Medan,Pegawai swasta,2,4188002,46%,60,83500000,LANCAR
A170852,24,NEW,LAKI LAKI,29,MENIKAH,1,Milik Sendiri,SMA,Bandung,Pegawai swasta,3,12571810,60%,24,15000000,LANCAR
A71007,60,NEW,LAKI LAKI,30,TIDAK MENIKAH,0,Milik Sendiri,SMA,Jakarta 3,Pegawai swasta,4,4187035,60%,60,50000000,LANCAR
A213288,48,NEW,LAKI LAKI,36,MENIKAH,1,Milik Sendiri,S1,Surabaya,Pegawai swasta,1,2976835,60%,48,50000000,LANCAR
A210566,48,NEW,LAKI LAKI,45,MENIKAH,2,Milik Orang Tua,S1,Surabaya,Pegawai swasta,23,3030113,49%,48,50000000,LANCAR
A302420,15,TOP,LAKI LAKI,47,MENIKAH,4,Milik Sendiri,DIPLOMA,Jakarta 5,Pegawai swasta,20,6764158,50%,120,212500000,LANCAR
A53842,96,NEW,LAKI LAKI,26,TIDAK MENIKAH,0,Sewa,SMA,Jakarta 3,Pegawai swasta,4,4097453,47%,96,100000000,LANCAR
A16590,36,NEW,LAKI LAKI,41,MENIKAH,3,Milik Sendiri,SMA,Medan,Pegawai swasta,5,5538535,34%,36,44000000,LANCAR
A81556,96,NEW,LAKI LAKI,38,MENIKAH,2,Milik Sendiri,SMA,Jakarta 4,Pegawai swasta,15,7500000,39%,96,150000000,LANCAR
A129362,60,NEW,LAKI LAKI,34,MENIKAH,1,Milik Orang Tua,S1,Jakarta 5,Pegawai swasta,1,5500000,33%,60,55000000,LANCAR
A108480,24,NEW,LAKI LAKI,44,MENIKAH,4,Milik Sendiri,SMA,Balikpapan,Pegawai swasta,2,4216905,40%,24,20000000,LANCAR
A240066,60,NEW,LAKI LAKI,29,MENIKAH,1,Milik Orang Tua,SMA,Denpasar,Pegawai swasta,6,3087195,44%,60,25000000,LANCAR
A19087,24,NEW,PEREMPUAN,27,TIDAK MENIKAH,0,Sewa,S1,Medan,Pegawai BUMN,1,7571084,45%,24,70000000,LANCAR
A37506,72,NEW,PEREMPUAN,48,MENIKAH,3,Milik Sendiri,S1,Palembang,PNS,19,13000000,34%,72,201000000,LANCAR
A241209,36,NEW,PEREMPUAN,39,MENIKAH,1,Milik Sendiri,DIPLOMA,Denpasar,Pegawai swasta,10,2833852,32%,36,25000000,LANCAR
A115925,24,NEW,LAKI LAKI,46,MENIKAH,2,Rumah Dinas,S2/S3,Balikpapan,PNS,4,20580366,32%,24,135000000,LANCAR
A247207,18,NEW,LAKI LAKI,43,MENIKAH,3,Milik Sendiri,SMA,Jayapura,Pegawai swasta,6,5742135,40%,18,26000000,LANCAR
A330357,9,TOP,LAKI LAKI,34,MENIKAH,2,Milik Sendiri,SMA,Jakarta 5,Pegawai swasta,3,3004800,50%,96,80000000,LANCAR
A177184,48,NEW,LAKI LAKI,50,MENIKAH,2,Milik Sendiri,DIPLOMA,Bandung,Pegawai swasta,11,7341126,36%,48,66000000,LANCAR
A107813,24,NEW,LAKI LAKI,29,TIDAK MENIKAH,0,Rumah Dinas,SMA,Balikpapan,Pegawai swasta,2,4137489,31%,24,24000000,LANCAR
A74558,60,NEW,LAKI LAKI,38,MENIKAH,2,Milik Sendiri,DIPLOMA,Jakarta 4,Pegawai swasta,10,42373332,12%,60,200000000,LANCAR
A83087,60,NEW,LAKI LAKI,31,MENIKAH,2,Milik Sendiri,S1,Jakarta 4,Pegawai swasta,7,6115117,39%,60,95000000,LANCAR
A277735,16,TOP,LAKI LAKI,30,MENIKAH,1,Sewa,SMA,Medan,Pegawai swasta,6,5289569,50%,120,160400000,LANCAR
A196622,24,NEW,PEREMPUAN,33,MENIKAH,1,Milik Orang Tua,SMA,Semarang,Pegawai swasta,10,3125701,31%,24,20000000,LANCAR
A42957,120,NEW,LAKI LAKI,24,MENIKAH,0,Milik Orang Tua,S1,Palembang,Pegawai BUMN,6,5124005,49%,120,150000000,LANCAR
A235320,48,NEW,LAKI LAKI,52,MENIKAH,2,Rumah Dinas,S2/S3,Makassar,Pegawai BUMN,25,26491804,53%,48,420000000,LANCAR
A71126,36,NEW,LAKI LAKI,23,MENIKAH,0,Milik Sendiri,DIPLOMA,Jakarta 3,PNS,1,7341000,47%,36,101000000,LANCAR
A53173,60,NEW,PEREMPUAN,43,MENIKAH,0,Milik Sendiri,DIPLOMA,Jakarta 3,Pegawai swasta,2,4071155,38%,60,60000000,LANCAR
A176200,36,NEW,LAKI LAKI,26,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Bandung,Pegawai swasta,2,2634687,42%,36,25000000,LANCAR
A61707,60,NEW,LAKI LAKI,31,MENIKAH,1,Milik Sendiri,DIPLOMA,Jakarta 3,Pegawai swasta,5,3400000,38%,60,50000000,LANCAR
A63170,36,NEW,LAKI LAKI,47,MENIKAH,1,Milik Sendiri,SMA,Jakarta 3,Pegawai swasta,17,5796558,31%,36,50000000,LANCAR
A182199,84,NEW,LAKI LAKI,38,MENIKAH,3,Milik Sendiri,SMA,Bandung,Pegawai swasta,10,3523279,59%,84,84000000,LANCAR
A135200,36,NEW,PEREMPUAN,54,MENIKAH,1,Milik Orang Tua,SMA,Jakarta 5,PNS,10,5535996,15%,36,16000000,LANCAR
A144774,84,NEW,LAKI LAKI,29,MENIKAH,0,Sewa,SMA,Jakarta 5,Pegawai swasta,2,5696254,37%,84,62000000,LANCAR
A223906,24,NEW,LAKI LAKI,36,MENIKAH,1,Milik Sendiri,SMA,Surabaya,Pegawai swasta,15,4671424,33%,24,27000000,LANCAR
A104593,24,NEW,LAKI LAKI,45,MENIKAH,1,Sewa,SMA,Balikpapan,Pegawai swasta,1,3696120,31%,24,20000000,LANCAR
A285466,26,TOP,LAKI LAKI,28,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Jakarta 3,Pegawai swasta,5,3715456,54%,96,100000000,LANCAR
A317076,18,TOP,LAKI LAKI,46,MENIKAH,2,Milik Sendiri,S2/S3,Surabaya,PNS,15,10661189,33%,48,122000000,LANCAR
A113674,48,NEW,LAKI LAKI,51,MENIKAH,2,Milik Sendiri,DIPLOMA,Balikpapan,Pegawai swasta,1,19845000,31%,48,175000000,LANCAR
A147012,12,NEW,PEREMPUAN,35,MENIKAH,2,Milik Orang Tua,S1,Jakarta 5,Pegawai swasta,3,3843802,24%,12,10000000,LANCAR
A150425,60,NEW,PEREMPUAN,31,MENIKAH,1,Milik Sendiri,S1,Jakarta 5,Pegawai swasta,2,14000000,20%,60,112000000,LANCAR
A300440,12,TOP,LAKI LAKI,48,MENIKAH,2,Milik Sendiri,SMA,Jakarta 5,Pegawai swasta,23,5600647,21%,60,52000000,LANCAR
A44698,24,NEW,LAKI LAKI,38,MENIKAH,1,Sewa,SMA,Jakarta 3,Pegawai swasta,11,2770673,28%,24,15000000,LANCAR
A256519,18,NEW,LAKI LAKI,41,MENIKAH,2,Sewa,SMA,Balikpapan,Pegawai swasta,2,4067089,42%,18,18000000,MACET
A80877,36,NEW,LAKI LAKI,39,MENIKAH,0,Milik Sendiri,S1,Jakarta 4,Pegawai swasta,6,3600000,51%,36,50000000,LANCAR
A272631,48,NEW,LAKI LAKI,30,MENIKAH,2,Milik Orang Tua,S1,Jakarta 5,Pegawai swasta,2,3309667,28%,48,29000000,LANCAR
A103223,36,NEW,LAKI LAKI,43,MENIKAH,2,Milik Orang Tua,SMA,Balikpapan,Pegawai swasta,9,6970000,10%,36,20000000,LANCAR
A49364,36,NEW,PEREMPUAN,39,MENIKAH,4,Milik Sendiri,SMP,Jakarta 3,Pegawai swasta,3,2723000,48%,36,21500000,LANCAR
A28775,96,NEW,LAKI LAKI,54,MENIKAH,4,Milik Sendiri,S2/S3,Palembang,PNS,17,6665970,42%,96,150000000,LANCAR
A246812,72,NEW,LAKI LAKI,45,MENIKAH,2,Rumah Dinas,S1,Jayapura,Pegawai swasta,23,16628393,43%,72,250000000,LANCAR
A59104,78,NEW,LAKI LAKI,43,MENIKAH,2,Milik Sendiri,SMA,Jakarta 3,Pegawai swasta,8,3122297,30%,78,69500000,LANCAR
A261183,48,NEW,PEREMPUAN,26,MENIKAH,0,Sewa,SMA,Medan,Pegawai swasta,3,3326614,56%,48,29000000,LANCAR
A298810,6,TOP,LAKI LAKI,35,MENIKAH,1,Milik Orang Tua,SMA,Jakarta 5,Pegawai swasta,2,2950133,26%,48,53300000,LANCAR
A183463,60,NEW,LAKI LAKI,29,MENIKAH,2,Milik Orang Tua,SMA,Bandung,Pegawai swasta,6,6969996,15%,60,40000000,LANCAR
A321532,21,TOP,PEREMPUAN,37,MENIKAH,1,Milik Sendiri,DIPLOMA,Makassar,Pegawai swasta,9,9333333,38%,60,90000000,LANCAR
A103159,36,NEW,LAKI LAKI,48,MENIKAH,3,Milik Sendiri,SD,Balikpapan,Pegawai swasta,15,5509189,27%,36,35000000,LANCAR
A212363,36,NEW,LAKI LAKI,34,MENIKAH,0,Milik Sendiri,S1,Surabaya,Pegawai swasta,5,3181042,59%,36,25000000,LANCAR
A149077,60,NEW,LAKI LAKI,27,MENIKAH,1,Milik Sendiri,S1,Jakarta 5,Pegawai swasta,2,6280553,60%,60,110000000,LANCAR
A3059,96,NEW,LAKI LAKI,35,MENIKAH,3,Milik Sendiri,S1,Medan,Pegawai swasta,8,8129835,23%,96,95000000,LANCAR
A313660,17,TOP,PEREMPUAN,39,MENIKAH,0,Milik Orang Tua,SMA,Semarang,Pegawai swasta,14,3236868,60%,96,48500000,LANCAR
A105169,36,NEW,LAKI LAKI,35,MENIKAH,2,Milik Sendiri,SMA,Balikpapan,Pegawai swasta,1,3105515,30%,36,20000000,LANCAR
A5021,48,NEW,LAKI LAKI,36,MENIKAH,1,Rumah Dinas,S1,Medan,Pegawai swasta,7,6961249,39%,48,62000000,LANCAR
A274358,12,TOP,LAKI LAKI,30,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Medan,Pegawai swasta,3,3184173,29%,48,35000000,LANCAR
A326880,9,TOP,LAKI LAKI,33,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Jakarta 5,Pegawai swasta,10,2944000,51%,60,60000000,LANCAR
A177873,60,NEW,LAKI LAKI,47,MENIKAH,3,Milik Orang Tua,S1,Bandung,Pegawai swasta,12,6096100,16%,60,40000000,LANCAR
A262453,24,NEW,LAKI LAKI,30,MENIKAH,1,Milik Orang Tua,SMA,Palembang,Pegawai swasta,4,2728258,19%,24,9000000,LANCAR
A207195,60,NEW,LAKI LAKI,37,MENIKAH,1,Milik Sendiri,S1,Surabaya,Pegawai swasta,8,6552675,14%,60,35000000,LANCAR
A31937,48,NEW,LAKI LAKI,55,MENIKAH,4,Milik Sendiri,SMA,Palembang,Pegawai BUMN,10,4861000,37%,48,60000000,LANCAR
A157767,60,NEW,LAKI LAKI,39,MENIKAH,1,Sewa,SMA,Jakarta 5,Pegawai swasta,8,9900000,22%,60,79000000,LANCAR
A250718,36,NEW,LAKI LAKI,25,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Medan,Pegawai swasta,2,3653492,52%,36,29000000,MACET
A77751,48,NEW,LAKI LAKI,32,MENIKAH,1,Sewa,SMA,Jakarta 4,Pegawai swasta,3,3686683,32%,48,30000000,LANCAR
A9661,36,NEW,LAKI LAKI,31,MENIKAH,1,Milik Orang Tua,SMA,Medan,Pegawai swasta,3,3171800,30%,36,25000000,LANCAR
A174093,60,NEW,PEREMPUAN,32,MENIKAH,2,Sewa,S1,Bandung,Pegawai swasta,6,3443488,27%,60,25000000,LANCAR
A225349,60,NEW,LAKI LAKI,45,MENIKAH,3,Milik Sendiri,SMA,Surabaya,Pegawai swasta,19,6660367,23%,60,60000000,LANCAR
A62145,48,NEW,LAKI LAKI,44,MENIKAH,3,Milik Sendiri,SMA,Jakarta 3,Pegawai swasta,7,5175333,18%,48,30000000,LANCAR
A117044,48,NEW,LAKI LAKI,35,MENIKAH,2,Milik Orang Tua,SMA,Balikpapan,Pegawai swasta,10,5933135,26%,48,50000000,LANCAR
A95837,12,NEW,LAKI LAKI,26,TIDAK MENIKAH,0,Sewa,SMA,Jakarta 4,Pegawai swasta,3,6092587,30%,12,20000000,LANCAR
A231528,48,NEW,LAKI LAKI,28,TIDAK MENIKAH,0,Sewa,DIPLOMA,Makassar,Pegawai swasta,3,3130107,40%,48,28000000,LANCAR
A198646,120,NEW,LAKI LAKI,45,MENIKAH,3,Milik Sendiri,DIPLOMA,Semarang,PNS,12,9094467,37%,120,200000000,LANCAR
A31612,24,NEW,PEREMPUAN,28,TIDAK MENIKAH,0,Rumah Dinas,S1,Palembang,Pegawai BUMN,2,5938671,43%,24,25500000,LANCAR
A220115,96,NEW,LAKI LAKI,34,MENIKAH,1,Milik Sendiri,S1,Surabaya,Pegawai BUMN,2,5558635,60%,96,150000000,LANCAR
A282361,9,TOP,LAKI LAKI,34,MENIKAH,1,Sewa,S1,Jakarta 3,Pegawai swasta,4,3013254,44%,120,198500000,LANCAR
A61611,96,NEW,LAKI LAKI,36,MENIKAH,1,Milik Orang Tua,SMA,Jakarta 3,Pegawai swasta,12,4569095,41%,96,100000000,LANCAR
A26073,48,NEW,LAKI LAKI,27,TIDAK MENIKAH,0,Milik Orang Tua,S1,Medan,Pegawai swasta,5,3585000,49%,48,49000000,LANCAR
A266448,60,NEW,LAKI LAKI,37,MENIKAH,3,Sewa,S2/S3,Bandung,Pegawai swasta,2,9292768,25%,60,80000000,LANCAR
A96980,36,NEW,LAKI LAKI,45,MENIKAH,2,Milik Orang Tua,DIPLOMA,Jakarta 4,Pegawai BUMN,1,4479000,41%,36,50000000,LANCAR
A48158,36,NEW,LAKI LAKI,34,MENIKAH,1,Milik Sendiri,S1,Jakarta 3,Pegawai swasta,5,6508433,23%,36,15500000,LANCAR
A216340,72,NEW,LAKI LAKI,36,TIDAK MENIKAH,0,Milik Sendiri,SMA,Surabaya,Pegawai swasta,14,2897883,54%,72,40000000,LANCAR
A309466,35,TOP,LAKI LAKI,26,TIDAK MENIKAH,0,Milik Sendiri,SMA,Bandung,Pegawai swasta,5,3891030,38%,36,63900000,LANCAR
A246614,36,NEW,LAKI LAKI,38,MENIKAH,3,Milik Sendiri,DIPLOMA,Jayapura,Pegawai swasta,5,9096622,29%,36,60000000,LANCAR
A161454,36,NEW,PEREMPUAN,40,MENIKAH,2,Milik Sendiri,S1,Jakarta 5,Pegawai swasta,4,7333333,14%,36,30000000,LANCAR
A86761,60,NEW,LAKI LAKI,40,MENIKAH,3,Milik Sendiri,S1,Jakarta 4,Pegawai swasta,6,15893223,19%,60,120000000,LANCAR
A255058,24,NEW,LAKI LAKI,33,TIDAK MENIKAH,0,Sewa,SD,Balikpapan,Pegawai swasta,1,5054849,37%,24,29000000,MACET
A223118,60,NEW,LAKI LAKI,42,MENIKAH,2,Milik Sendiri,DIPLOMA,Surabaya,Pegawai swasta,10,2145480,36%,60,20000000,LANCAR
A276131,16,TOP,PEREMPUAN,29,TIDAK MENIKAH,0,Sewa,S1,Medan,Pegawai swasta,4,3733740,29%,48,39000000,LANCAR
A181722,60,NEW,LAKI LAKI,25,TIDAK MENIKAH,0,Milik Sendiri,SMA,Bandung,Pegawai swasta,3,7270373,33%,60,65000000,LANCAR
A164700,24,NEW,LAKI LAKI,46,MENIKAH,2,Milik Sendiri,SMA,Bandung,Pegawai swasta,20,4949694,31%,24,28000000,LANCAR
A148117,24,NEW,LAKI LAKI,32,MENIKAH,2,Milik Sendiri,SMA,Jakarta 5,Pegawai swasta,10,4106285,47%,24,40000000,LANCAR
A145651,36,NEW,LAKI LAKI,52,MENIKAH,4,Sewa,SMA,Jakarta 5,Pegawai swasta,19,3883074,39%,36,30000000,LANCAR
A151501,60,NEW,LAKI LAKI,41,MENIKAH,3,Milik Sendiri,SMA,Jakarta 5,Pegawai swasta,21,4875000,20%,60,39000000,LANCAR
A318422,6,TOP,LAKI LAKI,46,MENIKAH,3,Milik Sendiri,S1,Surabaya,PNS,14,6190586,57%,120,185000000,LANCAR
A95096,60,NEW,PEREMPUAN,40,MENIKAH,1,Milik Sendiri,S1,Jakarta 4,PNS,8,10847634,12%,60,41000000,LANCAR
A106429,24,NEW,LAKI LAKI,29,MENIKAH,1,Milik Orang Tua,SMA,Balikpapan,Pegawai swasta,1,3506462,35%,24,20000000,LANCAR
A292310,16,TOP,LAKI LAKI,29,MENIKAH,1,Milik Orang Tua,DIPLOMA,Jakarta 4,Pegawai swasta,7,3941217,46%,36,65000000,LANCAR
A125125,48,NEW,LAKI LAKI,36,MENIKAH,1,Rumah Dinas,S1,Balikpapan,Pegawai swasta,15,13327740,28%,48,130000000,LANCAR
A70919,12,NEW,LAKI LAKI,47,MENIKAH,3,Milik Sendiri,S1,Jakarta 3,PNS,17,17349772,11%,12,20000000,LANCAR
A327748,30,TOP,LAKI LAKI,49,MENIKAH,3,Milik Orang Tua,SMA,Medan,Pegawai swasta,25,3879000,28%,36,45800000,LANCAR
A38814,48,NEW,LAKI LAKI,32,MENIKAH,2,Milik Orang Tua,SMA,Palembang,Pegawai swasta,2,4909192,32%,48,44000000,LANCAR
A328632,12,TOP,LAKI LAKI,32,MENIKAH,1,Milik Orang Tua,DIPLOMA,Balikpapan,Pegawai swasta,1,5307922,29%,84,98500000,LANCAR
A70794,24,NEW,PEREMPUAN,24,TIDAK MENIKAH,0,Milik Orang Tua,DIPLOMA,Jakarta 3,Pegawai swasta,1,4067824,37%,24,24000000,LANCAR
A316634,10,TOP,PEREMPUAN,50,MENIKAH,1,Milik Sendiri,S1,Surabaya,PNS,20,3296733,54%,96,105000000,LANCAR
A232471,24,NEW,PEREMPUAN,31,MENIKAH,2,Milik Sendiri,DIPLOMA,Makassar,Pegawai swasta,7,8564275,60%,24,41500000,LANCAR
A19073,36,NEW,PEREMPUAN,37,TIDAK MENIKAH,0,Milik Sendiri,SMA,Medan,Pegawai swasta,5,2859783,46%,36,22000000,LANCAR
A229676,48,NEW,LAKI LAKI,37,MENIKAH,3,Milik Orang Tua,S1,Makassar,Pegawai swasta,10,3803854,47%,48,60000000,LANCAR
A104960,24,NEW,LAKI LAKI,49,MENIKAH,3,Rumah Dinas,S1,Balikpapan,Pegawai swasta,1,10105655,13%,24,50000000,LANCAR
A132100,36,NEW,PEREMPUAN,48,MENIKAH,1,Milik Sendiri,S1,Jakarta 5,Pegawai swasta,11,10944101,11%,36,32000000,LANCAR
A129341,36,NEW,LAKI LAKI,29,TIDAK MENIKAH,0,Sewa,SMA,Jakarta 5,Pegawai swasta,3,3120261,36%,36,20000000,LANCAR
A195491,48,NEW,LAKI LAKI,23,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Semarang,Pegawai swasta,2,2597858,60%,48,20000000,LANCAR
A262719,120,NEW,LAKI LAKI,45,MENIKAH,2,Milik Sendiri,S1,Palembang,Pegawai swasta,19,12981628,45%,120,265000000,LANCAR
A224444,24,NEW,LAKI LAKI,45,MENIKAH,0,Milik Sendiri,S1,Surabaya,Pegawai swasta,19,4441859,27%,24,25000000,LANCAR
A142931,60,NEW,LAKI LAKI,28,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Jakarta 5,Pegawai swasta,2,3800000,34%,60,30000000,LANCAR
A175488,60,NEW,PEREMPUAN,34,MENIKAH,0,Milik Sendiri,S1,Bandung,Pegawai swasta,2,3046091,42%,60,40000000,LANCAR
A201862,96,NEW,LAKI LAKI,29,TIDAK MENIKAH,0,Sewa,SMA,Surabaya,Pegawai swasta,4,3451525,54%,96,100000000,LANCAR
A34794,60,NEW,LAKI LAKI,30,TIDAK MENIKAH,0,Milik Orang Tua,S1,Palembang,Pegawai BUMN,3,8445107,45%,60,150000000,LANCAR
A75339,36,NEW,LAKI LAKI,47,MENIKAH,3,Milik Sendiri,DIPLOMA,Jakarta 4,Pegawai BUMN,24,6056632,42%,36,70000000,LANCAR
A134211,48,NEW,PEREMPUAN,43,TIDAK MENIKAH,0,Milik Orang Tua,DIPLOMA,Jakarta 5,Pegawai swasta,14,3173684,29%,48,28500000,LANCAR
A309649,8,TOP,LAKI LAKI,49,MENIKAH,2,Milik Sendiri,SMA,Bandung,Pegawai swasta,3,2665396,48%,60,43000000,LANCAR
A219022,36,NEW,LAKI LAKI,34,MENIKAH,1,Milik Orang Tua,S1,Surabaya,Pegawai swasta,12,3454879,33%,36,27500000,LANCAR
A18719,36,NEW,LAKI LAKI,35,MENIKAH,1,Milik Sendiri,S1,Medan,Pegawai swasta,4,3712583,25%,36,25000000,LANCAR
A183451,36,NEW,PEREMPUAN,37,MENIKAH,2,Milik Sendiri,S1,Bandung,Pegawai BUMN,3,6458225,11%,36,19000000,LANCAR
A59189,24,NEW,LAKI LAKI,37,TIDAK MENIKAH,0,Milik Orang Tua,S1,Jakarta 3,Pegawai swasta,2,6200000,24%,24,30000000,LANCAR
A5410,48,NEW,LAKI LAKI,55,MENIKAH,3,Milik Sendiri,DIPLOMA,Medan,Pegawai BUMN,10,17083530,34%,48,200000000,LANCAR
A28320,60,NEW,LAKI LAKI,28,TIDAK MENIKAH,0,Rumah Dinas,DIPLOMA,Palembang,Pegawai swasta,1,6617746,29%,60,59000000,LANCAR
A248681,60,NEW,LAKI LAKI,28,TIDAK MENIKAH,0,Sewa,SMA,Medan,Pegawai swasta,1,3564845,30%,60,32000000,MACET
A37930,60,NEW,LAKI LAKI,30,TIDAK MENIKAH,0,Rumah Dinas,S1,Palembang,Pegawai BUMN,3,7327775,37%,60,65000000,LANCAR
A131431,48,NEW,PEREMPUAN,30,MENIKAH,0,Milik Sendiri,S1,Jakarta 5,Pegawai swasta,3,3290896,28%,48,15000000,LANCAR
A69353,120,NEW,LAKI LAKI,37,MENIKAH,1,Milik Orang Tua,SMA,Jakarta 3,Pegawai swasta,1,6285046,49%,120,200000000,LANCAR
A307178,25,TOP,LAKI LAKI,43,MENIKAH,1,Milik Orang Tua,S1,Bandung,Pegawai swasta,5,16412562,25%,60,145500000,LANCAR
A323841,11,TOP,LAKI LAKI,33,MENIKAH,2,Rumah Dinas,SMA,Jayapura,Pegawai swasta,1,7803785,56%,90,296000000,LANCAR
A261249,24,NEW,LAKI LAKI,36,MENIKAH,1,Milik Orang Tua,DIPLOMA,Medan,Pegawai swasta,2,6643307,27%,24,35000000,LANCAR
A249489,36,NEW,LAKI LAKI,27,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Bandung,Pegawai swasta,2,2456833,37%,36,20000000,MACET
A7205,84,NEW,LAKI LAKI,50,MENIKAH,1,Milik Sendiri,SMA,Medan,Pegawai swasta,15,4082219,38%,84,75000000,LANCAR
A149444,60,NEW,LAKI LAKI,47,MENIKAH,3,Milik Sendiri,DIPLOMA,Jakarta 5,Pegawai swasta,10,7875000,19%,60,60000000,LANCAR
A290608,19,TOP,LAKI LAKI,29,MENIKAH,3,Milik Sendiri,SMA,Jakarta 4,Pegawai swasta,8,6976993,30%,84,112100000,LANCAR
A202481,24,NEW,LAKI LAKI,29,MENIKAH,1,Milik Orang Tua,SMA,Surabaya,Pegawai swasta,2,3142542,39%,24,10000000,LANCAR
A245027,42,NEW,LAKI LAKI,33,TIDAK MENIKAH,0,Rumah Dinas,DIPLOMA,Jayapura,Pegawai swasta,1,9213599,29%,42,60000000,LANCAR
A276324,19,TOP,LAKI LAKI,30,MENIKAH,0,Rumah Dinas,DIPLOMA,Medan,Pegawai swasta,9,3088132,60%,96,70000000,LANCAR
A248940,48,NEW,LAKI LAKI,53,MENIKAH,3,Milik Sendiri,S1,Jakarta 3,Pegawai BUMN,25,8000000,55%,48,144000000,MACET
A321628,21,TOP,LAKI LAKI,53,MENIKAH,2,Milik Sendiri,SMA,Makassar,Pegawai BUMN,27,7327312,60%,60,264000000,LANCAR
A255208,48,NEW,LAKI LAKI,36,TIDAK MENIKAH,0,Milik Orang Tua,S1,Balikpapan,Pegawai swasta,9,2545523,47%,48,40000000,MACET
A194009,36,NEW,LAKI LAKI,33,MENIKAH,1,Milik Orang Tua,S1,Semarang,Pegawai swasta,9,2667817,21%,36,12000000,LANCAR
A160036,36,NEW,PEREMPUAN,27,TIDAK MENIKAH,0,Milik Orang Tua,S1,Jakarta 5,Pegawai BUMN,3,4030239,44%,36,50000000,LANCAR
A80982,60,NEW,PEREMPUAN,51,MENIKAH,2,Milik Sendiri,SMA,Jakarta 4,Pegawai swasta,25,11025567,17%,60,50000000,LANCAR
A71825,48,NEW,PEREMPUAN,37,MENIKAH,1,Milik Orang Tua,S1,Jakarta 4,Pegawai swasta,9,3472323,26%,48,30000000,LANCAR
A35812,120,NEW,LAKI LAKI,47,MENIKAH,0,Rumah Dinas,DIPLOMA,Palembang,Pegawai BUMN,23,11066450,53%,120,350000000,LANCAR
